Date,Adj Close,Close,High,Low,Open,Volume
2024-07-26,1.8000000636675395e-05,1.8000000636675395e-05,1.8999999156221747e-05,1.4999999621068127e-05,1.4999999621068127e-05,744
2024-07-27,1.700000029813964e-05,1.700000029813964e-05,1.8999999156221747e-05,1.4999999621068127e-05,1.8000000636675395e-05,842
2024-07-28,1.5999999959603883e-05,1.5999999959603883e-05,1.8000000636675395e-05,1.4999999621068127e-05,1.700000029813964e-05,354
2024-07-29,1.8000000636675395e-05,1.8000000636675395e-05,1.8000000636675395e-05,1.4999999621068127e-05,1.5999999959603883e-05,732
2024-07-30,1.5999999959603883e-05,1.5999999959603883e-05,2.2000000171829015e-05,1.4999999621068127e-05,1.8000000636675395e-05,1306
2024-07-31,1.5999999959603883e-05,1.5999999959603883e-05,1.700000029813964e-05,1.5999999959603883e-05,1.5999999959603883e-05,847
2024-08-01,1.8000000636675395e-05,1.8000000636675395e-05,1.9999999494757503e-05,1.5999999959603883e-05,1.5999999959603883e-05,1871
2024-08-02,1.700000029813964e-05,1.700000029813964e-05,1.8000000636675395e-05,1.5999999959603883e-05,1.8000000636675395e-05,654
2024-08-03,1.5999999959603883e-05,1.5999999959603883e-05,1.8000000636675395e-05,1.5999999959603883e-05,1.700000029813964e-05,247
2024-08-04,1.4999999621068127e-05,1.4999999621068127e-05,1.700000029813964e-05,1.4999999621068127e-05,1.5999999959603883e-05,443
2024-08-05,1.2000000424450263e-05,1.2000000424450263e-05,1.700000029813964e-05,1.2000000424450263e-05,1.4999999621068127e-05,681
2024-08-06,1.4000000192027073e-05,1.4000000192027073e-05,1.4999999621068127e-05,1.2000000424450263e-05,1.2000000424450263e-05,419
2024-08-07,1.2999999853491317e-05,1.2999999853491317e-05,1.4000000192027073e-05,1.2999999853491317e-05,1.4000000192027073e-05,322
2024-08-08,1.4000000192027073e-05,1.4000000192027073e-05,1.4000000192027073e-05,1.2999999853491317e-05,1.2999999853491317e-05,36
2024-08-09,1.4000000192027073e-05,1.4000000192027073e-05,1.4999999621068127e-05,1.2999999853491317e-05,1.4000000192027073e-05,394
2024-08-10,1.4000000192027073e-05,1.4000000192027073e-05,1.4000000192027073e-05,1.4000000192027073e-05,1.4000000192027073e-05,0
2024-08-11,1.2000000424450263e-05,1.2000000424450263e-05,1.4000000192027073e-05,1.2000000424450263e-05,1.4000000192027073e-05,865
2024-08-12,1.2000000424450263e-05,1.2000000424450263e-05,1.2999999853491317e-05,1.2000000424450263e-05,1.2000000424450263e-05,564
2024-08-13,1.2000000424450263e-05,1.2000000424450263e-05,1.4000000192027073e-05,1.2000000424450263e-05,1.2000000424450263e-05,164
2024-08-14,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,313
2024-08-15,3.999999989900971e-06,3.999999989900971e-06,1.700000029813964e-05,3.000000106112566e-06,1.2000000424450263e-05,10067
2024-08-16,3.000000106112566e-06,3.000000106112566e-06,3.999999989900971e-06,1.9999999949504854e-06,3.999999989900971e-06,2017
2024-08-17,1.9999999949504854e-06,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,2931
2024-08-18,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,1271
2024-08-19,6.000000212225132e-06,6.000000212225132e-06,7.999999979801942e-06,1.9999999949504854e-06,1.9999999949504854e-06,3096
2024-08-20,4.999999873689376e-06,4.999999873689376e-06,6.000000212225132e-06,4.999999873689376e-06,6.000000212225132e-06,0
2024-08-21,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,0
2024-08-22,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,0
2024-08-23,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,0
2024-08-24,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,0
2024-08-25,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,0
2024-08-26,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,0
2024-08-27,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,0
